File Code,BLS Code,BLS Region,BLS Region 2,Scenario Code,Scenario,Time_Slice,CO2 effects,CO2 ppm,Adapt- ation,wheat,rice,coarse grains,protein feed,,grains,four commo-dities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,42,CM2-S750,2050,Yes,501,Level 1,-2,-5,-14,2,,-7,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,43,CM2-S750,2080,No,330,Level 1,-17,-17,-19,-12,,-18,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,44,CM2-S750,2080,Yes,577,Level 1,-5,-6,-15,5,,-9,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,45,CM2-S750,2110,No,330,Level 1,-22,-22,-21,-16,,-22,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,138,Mexico,Mexico,46,CM2-S750,2110,Yes,643,Level 1,-7,-8,-16,4,,-10,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,1,GISS,Equilibrium,No,330,No,-46,-30,-19,-35,,-32,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,2,GISS,Equilibrium,Yes,555,No,-34,-19,-15,-18,,-23,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,3,GISS,Equilibrium,Yes,555,Level 1,-24,-11,-11,-10,,-15,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,4,GISS,Equilibrium,Yes,555,Level 2,-12,-5,-5,-5,,-7,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,5,GFDL,Equilibrium,No,330,No,-43,-28,-20,-20,,-30,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,6,GFDL,Equilibrium,Yes,555,No,-31,-17,-16,-3,,-21,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,7,GFDL,Equilibrium,Yes,555,Level 1,-21,-9,-12,5,,-14,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,8,GFDL,Equilibrium,Yes,555,Level 2,-10,-4,-6,5,,-7,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,9,UKMO,Equilibrium,No,330,No,-52,-41,-27,-53,,-40,-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,10,UKMO,Equilibrium,Yes,555,No,-40,-30,-23,-36,,-31,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,11,UKMO,Equilibrium,Yes,555,Level 1,-30,-22,-19,-28,,-24,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,12,UKMO,Equilibrium,Yes,555,Level 2,-15,-11,-9,-14,,-12,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,25,CM3-A,2020,No,330,Level 1,-24,-24,-7,-13,,-18,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,26,CM3-A,2020,Yes,475,Level 1,-18,-20,-3,-5,,-14,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,27,CM3-A,2050,No,330,Level 1,-41,-41,-14,-25,,-32,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,28,CM3-A,2050,Yes,574,Level 1,-29,-30,-10,-8,,-23,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,29,CM3-A,2080,No,330,Level 1,-55,-55,-21,-38,,-44,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,30,CM3-A,2080,Yes,712,Level 1,-38,-39,-15,-15,,-31,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,31,CM2-S550,2020,No,330,Level 1,-9,-9,-1,-4,,-6,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,32,CM2-S550,2020,Yes,410,Level 1,-5,-7,1,3,,-4,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,33,CM2-S550,2050,No,330,Level 1,-5,-5,1,0,,-3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,34,CM2-S550,2050,Yes,458,Level 1,3,0,3,11,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,906,L.A. High Inc. Cal. Exp.,Latin Amer 1,35,CM2-S550,2080,No,330,Level 1,-28,-28,-6,-12,,-21,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
